sex,address,famsize,Medu,Fedu,failures,absences,class
F,U,GT3,4,4,0,6,negative
F,U,GT3,3,3,0,4,negative
M,U,LE3,3,2,0,0,positive
M,U,LE3,4,4,0,2,negative
F,U,GT3,4,4,0,6,negative
M,U,GT3,4,3,0,0,negative
F,R,GT3,2,4,0,2,negative
M,U,LE3,3,4,0,4,negative
M,R,GT3,4,3,0,0,positive
M,U,LE3,4,3,0,2,positive
F,U,LE3,2,2,1,25,negative
F,U,LE3,2,2,1,14,negative
M,U,GT3,4,2,0,2,negative
M,U,LE3,4,2,1,6,negative
F,U,GT3,4,3,0,0,negative
F,R,GT3,4,4,0,6,negative
F,U,LE3,4,3,0,0,negative
F,R,LE3,2,2,0,2,negative
F,R,GT3,1,1,2,2,negative
M,U,GT3,4,0,0,8,negative
M,U,GT3,2,3,0,2,negative
F,U,GT3,1,1,0,2,negative
M,U,GT3,2,2,1,12,negative
F,U,LE3,3,1,0,4,negative
M,R,GT3,4,3,0,2,negative
M,U,GT3,4,4,0,14,negative
M,U,GT3,3,4,0,0,positive
M,R,GT3,4,4,0,6,negative
F,U,GT3,2,2,1,6,negative
M,U,GT3,4,4,0,2,negative
F,U,GT3,1,2,0,2,negative
F,U,GT3,2,2,0,0,negative
M,R,GT3,2,2,2,0,negative
F,U,LE3,2,2,0,12,negative
M,R,GT3,3,4,0,0,negative
M,U,GT3,4,3,0,0,negative
M,U,GT3,2,1,3,0,negative
M,U,GT3,4,4,0,0,negative
F,R,GT3,3,3,2,8,negative
M,R,LE3,1,2,0,8,negative
M,R,LE3,2,1,2,0,negative
M,R,LE3,1,1,3,0,negative
F,U,GT3,2,2,0,0,negative
M,U,LE3,4,4,0,0,negative
F,U,GT3,2,2,0,2,negative
M,U,GT3,4,3,0,10,negative
F,U,GT3,3,2,0,14,negative
F,U,GT3,3,3,0,6,negative
M,U,GT3,1,2,0,12,negative
M,U,GT3,4,4,0,4,negative
F,U,GT3,4,3,0,2,negative
F,R,GT3,2,2,0,6,negative
F,U,GT3,1,1,0,6,negative
F,U,GT3,2,2,0,0,negative
F,U,GT3,4,3,2,22,negative
F,R,GT3,2,1,0,2,negative
F,U,GT3,4,4,0,0,negative
M,U,LE3,2,1,0,14,negative
M,U,GT3,4,4,0,14,negative
M,U,LE3,2,2,0,4,negative
M,U,LE3,4,3,0,14,negative
F,U,GT3,2,1,0,0,negative
M,R,LE3,3,3,1,8,negative
M,U,GT3,2,1,1,4,negative
F,U,LE3,4,2,0,6,negative
F,U,GT3,4,3,0,21,positive
F,U,GT3,2,2,0,0,negative
M,U,GT3,4,2,0,10,negative
F,U,LE3,1,1,0,2,negative
F,R,GT3,3,2,0,75,negative
M,U,LE3,4,1,0,30,negative
F,U,GT3,2,2,0,4,negative
M,U,GT3,2,1,0,6,negative
F,U,LE3,2,1,1,12,negative
F,U,GT3,4,4,0,0,negative
F,U,LE3,4,4,0,14,negative
M,U,GT3,3,3,1,20,negative
M,R,GT3,3,3,1,0,negative
M,U,GT3,1,2,1,3,negative
F,U,GT3,2,1,0,0,negative
F,U,GT3,4,3,0,23,negative
F,U,LE3,0,2,0,0,negative
F,U,GT3,4,4,0,7,negative
F,U,GT3,3,3,0,0,negative
F,R,GT3,3,1,1,12,negative
F,U,GT3,2,1,1,4,negative
F,U,GT3,2,3,0,4,negative
F,U,GT3,4,3,0,0,negative
M,U,LE3,1,3,1,7,negative
F,R,GT3,4,4,0,4,negative
F,R,LE3,1,4,0,0,negative
F,R,GT3,1,2,0,0,negative
F,U,GT3,2,3,0,0,negative
F,U,GT3,2,2,0,8,negative
F,U,GT3,4,2,2,4,negative
M,U,GT3,4,4,0,4,negative
M,R,GT3,4,2,1,14,negative
F,U,LE3,3,1,0,0,negative
M,R,GT3,1,1,3,3,negative
